"Symbol","Name","IPO date","Market cap","Merger pending?","Leverage factor","Momentum factor 10","Momentum factor 200","P/B","Shares outstanding","Average trading volume","% traded","Action"
"TMTS","Spartacus Acquisition Corporation - Class A","11/02/2020","$198,000,000","N","0.00","1.01","1.07","0.00","20,000,000","245,544","1.23%","Analyze"
"CRHC","Cohn Robbins Holdings Corp. Class A","10/30/2020","$823,860,000","N","0.00","1.02","1.02","0.00","82,800,000","219,659","0.27%","Analyze"
"ITAC","Industrial Tech Acquisitions, Inc. - Class A","10/30/2020","$74,250,000","N","0.00","1.00","1.01","0.00","7,500,000","63,176","0.84%","Analyze"
"IACA","ION Acquisition Corp 1 Ltd. Class A","10/27/2020","$274,275,000","N","0.00","1.03","1.04","0.00","25,875,000","6,674","0.03%","Analyze"
"CMLF","CM Life Sciences, Inc. - Class A","10/26/2020","$448,505,750","N","0.00","1.01","1.01","0.00","44,275,000","8,415","0.02%","Analyze"
"TWND","Tailwind Acquisition Corp. Class A","10/23/2020","$330,873,543","N","0.00","1.01","1.02","0.00","33,421,570","171,811","0.51%","Analyze"
"INAQ","INSU Acquisition Corp. II - Class A","10/23/2020","$106,793,138","N","1.04","1.27","1.30","1.45","23,540,000","1,323,054","5.62%","Analyze"
"BLSA","BCLS Acquisition Corp. - Class A","10/22/2020","$168,787,500","N","0.00","0.99","1.00","0.00","16,075,000","20,373","0.13%","Analyze"
"BOWX","BowX Acquisition Corp. - Class A","10/21/2020","$430,500,000","N","0.00","1.03","1.16","0.00","42,000,000","46,701","0.11%","Analyze"
"HLXA","Helix Acquisition Corp. - Class A","10/20/2020","$127,173,800","N","0.00","1.00","1.04","0.00","11,930,000","4,092","0.03%","Analyze"
"FTOC","FTAC Olympus Acquisition Corp. - Class A","10/16/2020","$760,914,885","N","0.00","1.01","1.01","0.00","77,644,376","219,552","0.28%","Analyze"
"CFII","CF Finance Acquisition Corp. II - Class A","10/15/2020","$655,404,750","N","1.00","1.01","1.02","1.02","51,100,000","141,259","0.28%","Analyze"
"ASAQ","Atlantic Avenue Acquisition Corp. Class A","10/15/2020","$242,000,000","N","0.00","1.00","1.00","0.00","25,000,000","51,842","0.21%","Analyze"
"FVAM","5:01 Acquisition Corp. - Class A","10/14/2020","$84,770,400","N","0.00","1.01","1.01","0.00","8,360,000","15,938","0.19%","Analyze"
"LCAP","Lionheart Acquisition Corp. II - Class A","10/13/2020","$291,060,000","N","0.00","1.01","1.01","0.00","29,400,000","155,664","0.53%","Analyze"
"HZAC","Horizon Acquisition Corporation Class A","10/12/2020","$549,424,173","N","0.00","1.02","1.02","0.00","54,398,433","68,113","0.13%","Analyze"
"FST","FAST Acquisition Corp. Class A","10/12/2020","$253,637,500","N","1.04","1.01","1.02","1.31","25,750,000","94,156","0.37%","Analyze"
"BFT","Foley Trasimene Acquisition Corp. II Class A","10/09/2020","$1,531,582,922","N","0.00","1.00","1.07","0.00","146,703,345","1,138,783","0.78%","Analyze"
"CLA","Colonnade Acquisition Corp. Class A","10/09/2020","$195,000,000","N","0.00","1.00","1.09","0.00","20,000,000","123,575","0.62%","Analyze"
"NGA","Northern Genesis Acquisition Corp.","10/08/2020","$391,200,000","N","0.00","1.19","1.29","0.00","30,000,000","605,940","2.02%","Analyze"
"BTAQ","Burgundy Technology Acquisition Corporation - Class A","10/08/2020","$350,290,625","N","0.00","1.01","1.04","0.00","35,562,500","159,498","0.45%","Analyze"
"AONE","one Class A","10/08/2020","$225,320,000","N","0.00","1.02","1.02","0.00","21,500,000","31,964","0.15%","Analyze"
"STPK","Star Peak Energy Transition Corp. Class A","10/08/2020","$100,691,073","N","1.04","1.06","1.07","1.08","38,358,504","98,893","0.26%","Analyze"
"DGNR","Dragoneer Growth Opportunities Corp. Class A","10/05/2020","$841,800,000","N","0.00","1.05","1.06","0.00","69,000,000","87,980","0.13%","Analyze"
"RBAC","RedBall Acquisition Corp. Class A","10/05/2020","$758,281,280","N","0.00","1.01","1.03","0.00","57,500,000","235,594","0.41%","Analyze"
"DMYD","dMY Technology Group, Inc. II Class A","10/05/2020","$303,876,000","Y","0.00","1.06","1.08","0.00","27,600,000","572,737","2.08%","Analyze"
"SAII","Software Acquisition Group Inc. II - Class A","10/05/2020","$169,395,000","N","0.00","1.01","1.01","0.00","17,250,000","43,440","0.25%","Analyze"
"FAII","Fortress Value Acquisition Corp. II Class A","10/02/2020","$444,187,500","N","0.00","1.03","1.04","0.00","43,125,000","84,764","0.20%","Analyze"
"KSMT","Kismet Acquisition One Corp","10/02/2020","$245,000,000","N","0.00","1.01","1.01","0.00","25,000,000","89,842","0.36%","Analyze"
"GRSV","Gores Holdings V, Inc.","09/29/2020","$531,300,000","N","0.00","1.01","1.04","0.00","52,500,000","124,004","0.24%","Analyze"
"GOAC","GO Acquisition Corp. Class A","09/25/2020","$707,968,750","N","0.00","1.01","1.01","0.00","71,875,000","85,389","0.12%","Analyze"
"HOL","Holicity Inc. - Class A","09/25/2020","$369,375,000","N","0.00","1.11","1.04","0.00","37,500,000","12,814","0.03%","Analyze"
"YAC","Yucaipa Acquisition Corporation Class A","09/24/2020","$433,406,250","N","0.00","1.02","1.02","0.00","43,125,000","77,100","0.18%","Analyze"
"PTK","PTK Acquisition Corp.","09/23/2020","$141,881,250","N","1.04","1.01","1.01","1.28","14,375,000","44,714","0.31%","Analyze"
"NHIC","NewHold Investment Corp. - Class A","09/22/2020","$148,350,000","N","0.00","1.01","1.04","0.00","15,000,000","15,482","0.10%","Analyze"
"PRPB","CC Neuberger Principal Holdings II Class A","09/21/2020","$834,624,000","N","0.00","1.02","1.01","0.00","82,800,000","147,862","0.18%","Analyze"
